Company Name,Company Page URL,Engagement Level,Organic Impressions,Organic Engagements,Paid Impressions,Paid Clicks,Paid Engagements,Paid Conversions,Paid Leads,Paid Qualified Leads
"MITTA AB",https://www.linkedin.com/company/mitta-ab,Very Low,,,7,,,,,
"JLT - Jönköpings Länstrafik",https://www.linkedin.com/company/jonkopings-lanstrafik,Very Low,,,7,,,,,
"Länsstyrelsen Västmanland",https://www.linkedin.com/company/länsstyrelsen-västmanland,Very Low,,,7,,,,,
"Restaurant Soho",https://www.linkedin.com/company/restaurant-soho,Very Low,,,7,,,,,
"Profile Nordic AB",https://www.linkedin.com/company/profile-nordic-ab,Very Low,,,7,,,,,
"KG Knutsson",https://www.linkedin.com/company/k-g-knutsson,Very Low,,,7,,,,,
"Elvin och Partners",https://www.linkedin.com/company/elvin-och-partners,Very High,31,31,7,,,,,
"FAS-föreningen",https://www.linkedin.com/company/fas-föreningen,Very High,64,65,7,,,,,
"Ropo",https://www.linkedin.com/company/ropogroup,Very High,5,4,7,,,,,
"Tekniska Verken",https://www.linkedin.com/company/tekniska-verken-i-kiruna-ab,Very Low,,,7,,,,,
"Bastard Burgers",https://www.linkedin.com/company/bastard-burgers,Very High,7,6,7,,,,,
"Hedbergs Bil",https://www.linkedin.com/company/hedbergsbil,Very High,19,19,7,,,,,
"Arena Workforce",https://www.linkedin.com/company/arenaworkforce,Very Low,,,7,,,,,
"Robertsfors Kommun",https://www.linkedin.com/company/robertsforskommun,Very Low,,,7,,,,,
"Statens maritima och transporthistoriska museer",https://www.linkedin.com/company/statensmaritimaochtransporthistoriskamuseer,Very High,10,10,7,,,,,
"INEOS Compounds",https://www.linkedin.com/company/ineos-compounds-aycliffe-limited,Very Low,,,7,,,,,
"HeyKiddo",https://www.linkedin.com/company/heykiddoapp,Very Low,,,7,,,,,
"AjaBajaCancer",https://www.linkedin.com/company/ajabajacancer,Very Low,,,7,,,,,
"Act Svenska kyrkan",https://www.linkedin.com/company/actsvenskakyrkan,Very Low,,,7,,,,,
"Båstad Turism & Näringsliv",https://www.linkedin.com/company/bastadturismnaringsliv,Very Low,,,7,,,,,
"Measure & Change",https://www.linkedin.com/company/measureandchange,Very High,78,80,7,,,,,
"Karolinska Universitetslaboratoriet",https://www.linkedin.com/company/karolinska-universitetslaboratoriet,Very Low,,,7,,,,,
"Nomaco Sverige",https://www.linkedin.com/company/nomacoab,Very Low,,,7,,,,,
"Chaperone",https://www.linkedin.com/company/chaperone-online,Very Low,,,7,,,,,
"Fair Play Tennisklubb",https://www.linkedin.com/company/fairplaytennisklubb,Very Low,,,7,,,,,
"VetApotek",https://www.linkedin.com/company/vetapotek,Very High,5,5,7,,,,,
"Arbetslivspartner Företagshälsa",https://www.linkedin.com/company/arbetslivspartner-ab,Very Low,,,7,,,,,
"Reeinvent",https://www.linkedin.com/company/reeinvent,Very High,24,27,7,,,,,
"KONSULT",https://www.linkedin.com/company/north-african-consulting-services,Very Low,,,7,,,,,
"Regionalt cancercentrum sydöst (RCC Sydöst)",https://www.linkedin.com/company/regionalt-cancercentrum-sydost,Very Low,,,7,,,,,
"Hungarian Demoscene",https://www.linkedin.com/company/hungarian-demoscene,Very Low,,,7,,,,,
"Kellfri AB",https://www.linkedin.com/company/kellfri-ab,Very Low,,,7,,,,,
"NoviOcean AB",https://www.linkedin.com/company/novige-ab,Very Low,,,7,,,,,
"Leo’s",https://www.linkedin.com/company/leosplaycenter,Very Low,,,7,,,,,
"Tidningen Näringslivet",https://www.linkedin.com/company/tidningen-naringslivet,Very Low,,,7,,,,,
"Duroc Machine Tool",https://www.linkedin.com/company/duroc-machine-tool,Very High,27,28,7,,,,,
"Arris AB",https://www.linkedin.com/company/arris-ab,Very Low,,,7,,,,,
"SearchFlow",https://www.linkedin.com/company/searchflowdigital,Very Low,,,7,,,,,
"ScanMarine AB",https://www.linkedin.com/company/scanmarine,Very High,18,18,7,,,,,
"Nonbye",https://www.linkedin.com/company/nonbye-se-no,Very Low,,,7,,,,,
"PWS Nordic AB",https://www.linkedin.com/company/pws-nordic-ab,Very Low,,,7,,,,,
"wienerberger Sverige",https://www.linkedin.com/company/wienerberger-sverige,Very High,17,19,7,,,,,
"Partner in Pet Food Nordics AB",https://www.linkedin.com/company/partnerinpetfoodnordics-ab,Very Low,,,7,,,,,
"Sjömarkens Isolering AB",https://www.linkedin.com/company/sjömarken-isolering-ab,Very Low,,,7,,,,,
"Ekonomikontoret AB",https://www.linkedin.com/company/ekonomikontoret-ab,Very High,,,7,,3,,,
"Advokatfirman dNovo",https://www.linkedin.com/company/dnovo---law-and-business-simplified,Very Low,,,7,,,,,
"Astronomisk Ungdom",https://www.linkedin.com/company/astronomisk-ungdom,Very Low,,,7,,,,,
"WaterAid Sverige",https://www.linkedin.com/company/wateraid-sverige,Very High,4,4,7,,,,,
"Danmarks Ambassade i Sverige",https://www.linkedin.com/company/denmark-in-sweden,Very High,11,7,7,,,,,
"KABIT AB",https://www.linkedin.com/company/kabit-ab,Very High,40,7,7,,3,,,
"Marsh Europe",https://www.linkedin.com/company/marsheurope,Very High,4,4,7,,,,,
"House of Lola",https://www.linkedin.com/company/house-of-lola,Very Low,,,7,,,,,
"Privat",https://www.linkedin.com/company/getprivat,Very High,7,7,7,,,,,
"Lika Olika-metoden",https://www.linkedin.com/company/likaolikametoden,Very High,12,17,7,,4,,,
"Polygon Sverige AB",https://www.linkedin.com/company/polygon-sverige,Very Low,,,7,,,,,
"Landrins Bil",https://www.linkedin.com/company/landrinsbil,Very Low,,,7,,,,,
"Visionrevision i Ystad AB",https://www.linkedin.com/company/visionrevision-i-ystad-ab,Very Low,,,7,,,,,
"Metesa Sweden",https://www.linkedin.com/company/metesasweden,Very Low,,,7,,,,,
"Weland AB",https://www.linkedin.com/company/weland-ab,Very High,26,27,7,,,,,
"BoRevision i Sverige AB",https://www.linkedin.com/company/borevision-i-sverige-ab,Very Low,,,7,,,,,
"Techstep",https://www.linkedin.com/company/techstep-company,Very Low,,,7,,,,,
"Future Ordering",https://www.linkedin.com/company/future-ordering,Very Low,,,7,,,,,
"Storsthlm",https://www.linkedin.com/company/storsthlm,Very High,15,16,7,,,,,
"Kristianstads Renhållnings AB",https://www.linkedin.com/company/kristianstads-renhållning-ab,Very High,7,7,7,,,,,
"Inter Nordic Transport AB",https://www.linkedin.com/company/inter-nordic-transport,Very High,4,4,7,,,,,
"Puls Solutions AB",https://www.linkedin.com/company/puls-solutions-ab,Very Low,,,7,,,,,
"Myndigheten för familjerätt och föräldraskapsstöd, MFoF",https://www.linkedin.com/company/myndigheten-för-familjerätt-och-föräldraskapsstöd-mfof,Very Low,,,7,,,,,
"Norrtulls Sportklubb",https://www.linkedin.com/company/norrtulls-sportklubb,Very Low,,,7,,,,,
"Cinis Fertilizer",https://www.linkedin.com/company/cinis-fertilizer,Very Low,,,7,,,,,
"Aderans Scandinavia",https://www.linkedin.com/company/aderans-scandinavia,Very High,36,33,7,,,,,
"ALMASOFT",https://www.linkedin.com/company/almasoft-se,Very Low,,,7,,,,,
"Included VC",https://www.linkedin.com/company/includedvc,Very Low,,,7,,,,,
"NESR",https://www.linkedin.com/company/nationalenergyservices,Very Low,,,7,,,,,
"Dedicare Danmark",https://www.linkedin.com/company/dedicare-danmark,Very Low,,,7,,,,,
"ARKIVET Second Hand",https://www.linkedin.com/company/arkivet-second-hand,Very High,12,12,7,,,,,
"Ackcio",https://www.linkedin.com/company/ackcio,Very Low,,,7,,,,,
"Unga Aktiesparare Kristianstad",https://www.linkedin.com/company/unga-aktiesparare-kristianstad,Very Low,,,7,,,,,
"Assist Elkonsult AB",https://www.linkedin.com/company/assistelkonsult,Very Low,,,7,,,,,
"Essensus",https://www.linkedin.com/company/essensusab,Very Low,,,7,,,,,
"Todd Timber",https://www.linkedin.com/company/todd-timber,Very Low,,,7,,,,,
"Bodbörsen AB",https://www.linkedin.com/company/bodborsen,Very Low,,,7,,,,,
"Road Rental Scandinavia AB",https://www.linkedin.com/company/road-rental-scandinavia-ab,Very High,7,7,7,,,,,
"Skylite Affärsutveckling AB",https://www.linkedin.com/company/skylite-businessdev,Very High,3,3,7,,,,,
"IK Eos Lund",https://www.linkedin.com/company/ik-eos,Very High,6,15,7,,,,,
"Thoren Business School",https://www.linkedin.com/company/d-a-clothing,Very High,7,7,7,,,,,
"INTERNI KAKELSTUDIO",https://www.linkedin.com/company/internikakelstudio,Very Low,,,7,,,,,
"Filmstaden",https://www.linkedin.com/company/filmstaden,Very High,40,38,7,,,,,
"TIER Mobility",https://www.linkedin.com/company/tiermobility,Very Low,,,7,,,,,
"Snigel",https://www.linkedin.com/company/snigeldesign-ab,Very Low,,,7,,,,,
"Buildahome Digital",https://www.linkedin.com/company/buildahome,Very High,9,9,7,,,,,
"Nya tunnelbanan, Region Stockholm",https://www.linkedin.com/company/nya-tunnelbanan,Very High,16,16,7,,,,,
"GMM",https://www.linkedin.com/company/gmm-i-skane,Very High,4,4,7,,,,,
"VarnumHälsan AB",https://www.linkedin.com/company/varnumhälsan-ab,Very Low,,,7,,,,,
"Embassy of Sweden in The Netherlands",https://www.linkedin.com/company/embassy-of-sweden-in-the-hague,Very Low,,,7,,,,,
"SOPREMA Sverige",https://www.linkedin.com/company/soprema-ab,Very Low,,,7,,,,,
"Folk Mat & Möten",https://www.linkedin.com/company/folkmatmoten,Very High,,,7,,3,,,
"FARM Chalmers",https://www.linkedin.com/company/farmchalmers,Very Low,,,7,,,,,
"Åhus Beach AB",https://www.linkedin.com/company/ahus-beach-ab,Very Low,,,7,,,,,
"Brother Nordic A/S",https://www.linkedin.com/company/brother-nordic-a-s,Very Low,,,7,,,,,
"Mero Rekrytering",https://www.linkedin.com/company/merorekrytering,Very Low,,,7,,,,,
"NICKS",https://www.linkedin.com/company/nickstosugar,Very High,7,9,7,,,,,
"Invacare Europe",https://www.linkedin.com/company/invacareeurope,Very Low,,,7,,,,,
"Vollsjö Tryck AB",https://www.linkedin.com/company/vollsjö-tryck-ab,Very High,4,4,7,,,,,
"AllOffice Nordic AB",https://www.linkedin.com/company/alloffice-nordic-ab,Very Low,,,7,,,,,
"Arbetsskydd Express int. AB",https://www.linkedin.com/company/arbetsskydd-express-ab,Very Low,,,7,,,,,
"Varbergs Fastighets AB",https://www.linkedin.com/company/varbergs-fastighets-ab,Very High,3,3,7,,,,,
"RYZIN ART",https://www.linkedin.com/company/ryzin-art,Very Low,,,7,,,,,
"EUROPART Group",https://www.linkedin.com/company/europart-group,Very High,21,21,7,,,,,
"Svenska Institutet för Medling",https://www.linkedin.com/company/svenska-institutet-för-medling,Very High,,3,7,,,,,
"Futuraskolan International School of Stockholm",https://www.linkedin.com/company/futuraskolan-international-school-of-stockholm,Very Low,,,7,,,,,
"Bonava",https://www.linkedin.com/company/bonava,Very Low,,,7,,,,,
"Alufluor AB",https://www.linkedin.com/company/alufluor,Very Low,,,7,,,,,
"Katam Technologies",https://www.linkedin.com/company/katam,Very Low,,,7,,,,,
"Gothia Kompetens",https://www.linkedin.com/company/gothiakompetens,Very Low,,,7,,,,,
"Briox",https://www.linkedin.com/company/brioxgroup,Very Low,,,7,,,,,
"Valiant Clinic & Hospital",https://www.linkedin.com/company/valiantclinicandhospital,Very Low,,,7,,,,,
"Case Kapitalförvaltning",https://www.linkedin.com/company/casefonder,Very Low,,,7,,,,,
"ROS Retail Outlet Shopping - Part of FREY",https://www.linkedin.com/company/ros-retail-outlet-shopping-gmbh,Very Low,,,7,,,,,
"Eitech SE",https://www.linkedin.com/company/eitech-se,Very High,6,6,7,,,,,
"Handelskammaren Mittsverige",https://www.linkedin.com/company/handelskammaren-mittsverige---mid-sweden-chamber-of-commerce,Very Low,,,7,,,,,
"Power Heat",https://www.linkedin.com/company/power-heat-piping-ab,Very High,6,6,7,,,,,
"Cloudo AB",https://www.linkedin.com/company/cloudo-se,Very High,9,9,7,,,,,
"KAMIC",https://www.linkedin.com/company/kamic,Very High,27,28,7,,,,,
"CodeScene",https://www.linkedin.com/company/codescene,Very Low,,,7,,,,,
"LSM Global",https://www.linkedin.com/company/lsm-global-ltd-,Very Low,,,7,,,,,
"J BIL",https://www.linkedin.com/company/j-bil,Very Low,,,7,,,,,
"Ctrl Digital",https://www.linkedin.com/company/ctrl-digital,Very Low,,,7,,,,,
"Benchtell",https://www.linkedin.com/company/benchtell,Very High,3,3,7,,,,,
"Frölunda HC",https://www.linkedin.com/company/frölunda-hockey-club,Very Low,,,7,,,,,
"Superprof",https://www.linkedin.com/company/superprof,Very High,5,4,7,,,,,
"Stora Sköndal",https://www.linkedin.com/company/stora-sköndal,Very Low,,,7,,,,,
"Circolo Scandinavo",https://www.linkedin.com/company/circolo-scandinavo,Very Low,,,7,,,,,
"Sydsverige Entreprenad AB",https://www.linkedin.com/company/sydsverige-entreprenad,Very High,6,6,7,,,,,
"Barnkompetens Akademi Sverige AB",https://www.linkedin.com/company/barnkompetens,Very Low,,,7,,,,,
"Fibra",https://www.linkedin.com/company/fibra,Very Low,,,7,,,,,
"Vingåkers Kommun",https://www.linkedin.com/company/vingakers-kommun,Very Low,,,7,,,,,
"Strömsunds Kommun",https://www.linkedin.com/company/stromsunds-kommun,Very Low,,,7,,,,,
"Orsa Kommun",https://www.linkedin.com/company/orsa-kommun,Very Low,,,7,,,,,
"Lycksele Kommun",https://www.linkedin.com/company/lycksele-kommun,Very Low,,,7,,,,,
"Munkfors kommun",https://www.linkedin.com/company/munkforskommun,Very Low,,,7,,,,,
"Swiss Chamber of Commerce in Sweden",https://www.linkedin.com/company/schweiziska-handelskammaren,Very High,3,3,7,,,,,
"Sparbanken i Karlshamn",https://www.linkedin.com/company/sparbanken-i-karlshamn,Very High,19,19,7,,,,,
"HAKI Safety AB (publ)",https://www.linkedin.com/company/haki-safety-ab,Very High,6,10,7,,,,,
"NoHo Partners",https://www.linkedin.com/company/nohopartners,Very Low,,,7,,,,,
"Nigerian Maritime Administration and Safety Agency",https://www.linkedin.com/company/nigerian-maritime-administration-and-safety-agency,Very Low,,,7,,,,,
"Ims Nonwoven AB",https://www.linkedin.com/company/ims-nonwoven-ab,Very Low,,,7,,,,,
"SWEDSECUR AB",https://www.linkedin.com/company/swedsecur-ab,Very High,13,13,7,,,,,
"Murman Arkitekter",https://www.linkedin.com/company/murmanarkitekter,Very Low,,,7,,,,,
"Äventyret (Förskola Grundskola)",https://www.linkedin.com/company/stiftelsen-äventyret,Very High,5,5,7,,,,,
"Östergötlands museum",https://www.linkedin.com/company/östergötlands-museum,Very Low,,,7,,,,,
"Hermelinen Luleå",https://www.linkedin.com/company/hermelinen-luleå,Very Low,,,7,,,,,
"Mouldex Plast AB",https://www.linkedin.com/company/mouldex-plast-ab,Very High,13,13,7,,,,,
"Falun Borlänge-regionen AB",https://www.linkedin.com/company/falun-borlänge-regionen-ab,Very Low,,,7,,,,,
"The National",https://www.linkedin.com/company/thenationalsweden,Very Low,,,7,,,,,
"Plan - Logistikföreningen för effektiva flöden",https://www.linkedin.com/company/plan-logistikf-reningen-f-r-effektiva-fl-den,Very Low,,,7,,,,,
"REVENY",https://www.linkedin.com/company/reveny,Very Low,,,7,,,,,
"Byggsäkert",https://www.linkedin.com/company/bygg-och-säkerhet,Very Low,,,7,,,,,
"Marge Arkitekter",https://www.linkedin.com/company/marge-arkitekter,Very High,26,28,7,,,,,
"Trelleborg Engineered Coated Fabrics",https://www.linkedin.com/company/trelleborgecf,Very Low,,,7,,,,,
"Alzinova AB",https://www.linkedin.com/company/alzinova-ab,Very Low,,,7,,,,,
"Uppsala Vatten och Avfall AB",https://www.linkedin.com/company/uppsala-vatten-och-avfall-ab,Very High,13,13,7,,,,,
"Göteborgs Tekniska College",https://www.linkedin.com/company/göteborgs-tekniska-college-ab,Very High,4,4,7,,,,,
"Mutonic",https://www.linkedin.com/company/mutonic,Very Low,,,7,,,,,
"Confirma Artvise AB",https://www.linkedin.com/company/artvise-ab,Very High,17,17,7,,,,,
"Entira AB",https://www.linkedin.com/company/entira-ab,Very Low,,,7,,,,,
"IKEM – Innovations- och kemiindustrierna i Sverige",https://www.linkedin.com/company/ikem---innovations--och-kemiindustrierna,Very Low,,,7,,,,,
"Nordic Door AB",https://www.linkedin.com/company/nordic-door-ab,Very Low,,,7,,,,,
"Lund International Fantastic Film Festival",https://www.linkedin.com/company/lund-international-fantastic-film-festival,Very Low,,,7,,,,,
"Foreningerne Nordens Forbund",https://www.linkedin.com/company/foreningerne-nordens-forbund,Very High,42,43,7,,3,,,
"Thea Commerce",https://www.linkedin.com/company/thea-commerce,Very Low,,,7,,,,,
"SWESCAN",https://www.linkedin.com/company/swescan,Very High,,3,7,,,,,
"EARTech Information Technology",https://www.linkedin.com/company/eartechit,Very Low,,,7,,,,,
"Crabat",https://www.linkedin.com/company/crabat,Very High,3,3,7,,,,,
"Hagabadet",https://www.linkedin.com/company/hagabadet,Very Low,,,7,,,,,
"Qreo AB",https://www.linkedin.com/company/qreo-ab,Very High,63,69,7,,,,,
"PILA PHARMA",https://www.linkedin.com/company/pila-pharma-ab,Very Low,,,7,,,,,
"Avalon Innovation",https://www.linkedin.com/company/avalon-innovation-technology-ab,Very High,7,7,7,,,,,
"Tillberg Design of Sweden",https://www.linkedin.com/company/tillberg-design-ab,Very Low,,,7,,,,,
"Pharma4ever A/S",https://www.linkedin.com/company/pharma4ever,Very Low,,,7,,,,,
"Åhus Hamn & Stuveri AB",https://www.linkedin.com/company/åhus-hamn-&-stuveri-ab,Very Low,,,7,,,,,
"Svenskt Vatten",https://www.linkedin.com/company/svenskt-vatten,Very Low,,,7,,,,,
"CatMan Solution",https://www.linkedin.com/company/catmansolution,Very Low,,,7,,,,,
"25hours Hotels",https://www.linkedin.com/company/25hours-hotels,Very High,3,3,7,,,,,
"VGR Fastigheter",https://www.linkedin.com/company/vgrfastigheter,Very High,8,9,7,,,,,
"Identitet Kommunikation",https://www.linkedin.com/company/identitet,Very Low,,,7,,,,,
"Hiv-Sverige/HIV-Sweden",https://www.linkedin.com/company/hiv-sverige,Very High,3,3,7,,,,,
"Kalmar",https://www.linkedin.com/company/kalmar,Very Low,,,7,,,,,
"CBRE Denmark",https://www.linkedin.com/company/cbre-denmark,Very High,12,9,7,,,,,
"Vårdcentralerna Bra Liv Region Jönköpings län",https://www.linkedin.com/company/vardcentralernabraliv,Very Low,,,7,,,,,
"Geoforum Sverige",https://www.linkedin.com/company/geoforumsverige,Very High,4,4,7,,,,,
"Swedish Athletic Association",https://www.linkedin.com/company/swedish-athletics,Very Low,,,7,,,,,
"Zynka",https://www.linkedin.com/company/zynka,Very High,13,13,7,,,,,
"Autoexperten",https://www.linkedin.com/company/autoexperten-i-sverige-ab,Very Low,,,7,,,,,
"DB Cargo Scandinavia",https://www.linkedin.com/company/db-cargo-scandinavia,Very High,3,3,7,,,,,
"Park & Vatten Skåne AB",https://www.linkedin.com/company/park-&-vatten-skåne-ab,Very High,11,11,7,,,,,
"Stockholm Meeting Selection",https://www.linkedin.com/company/stockholm-meeting-selection-ab,Very Low,,,7,,,,,
"Sweden Green Building Council (SGBC)",https://www.linkedin.com/company/sweden-green-building-council,Very High,7,7,7,,,,,
"BILDA personal",https://www.linkedin.com/company/bilda-personal,Very Low,,,7,,,,,
"Konsult",https://www.linkedin.com/company/konsult,Very High,17,16,7,,,,,
"Genau & More A/S - Part of Epista Life Science Group",https://www.linkedin.com/company/genau-&-more,Very Low,,,7,,,,,
"Clarion Hotel® Post",https://www.linkedin.com/company/clarion-hotel-post,Very Low,,,7,,,,,
"Forza Football",https://www.linkedin.com/company/forzafootball,Very Low,,,7,,,,,
"Trollhättan Energi AB",https://www.linkedin.com/company/trollh-ttan-energi,Very Low,,,7,,,,,
"UVA LIDKÖPING",https://www.linkedin.com/company/kmt-precision-grinding,Very Low,,,7,,,,,
"VibroGym",https://www.linkedin.com/company/vibrogym,Very High,8,8,7,,,,,
"Redslim",https://www.linkedin.com/company/redslim,Very Low,,,7,,,,,
"Mild",https://www.linkedin.com/company/mild-media,Very Low,,,7,,,,,
"Hammarby Fotboll",https://www.linkedin.com/company/hammarbyfotboll,Very Low,,,7,,,,,
"REKON",https://www.linkedin.com/company/rekon,Very High,35,35,7,,,,,
"Arctic Sweden Visitors Board",https://www.linkedin.com/company/arctic-sweden-visitors-board,Very Low,,,7,,,,,
"Ictech",https://www.linkedin.com/company/ictech,Very Low,,,7,,,,,
"Scheuch GmbH",https://www.linkedin.com/company/scheuchgmbh,Very Low,,,7,,,,,
"Safe Return Asset Management",https://www.linkedin.com/company/safe-return-asset-management,Very Low,,,7,,,,,
"Skåne Care",https://www.linkedin.com/company/skanecare,Very High,5,5,7,,,,,
"Tillquist Group AB",https://www.linkedin.com/company/hugo-tillquist,Very Low,,,7,,,,,
"Stocksy",https://www.linkedin.com/company/stocksy-united,Very Low,,,7,,,,,
"Nya Ledarskapet",https://www.linkedin.com/company/nya-ledarskapet,Very High,,3,7,,,,,
"Härjedalskök",https://www.linkedin.com/company/h-rjedalsk-k,Very Low,,,7,,,,,
"Worko",https://www.linkedin.com/company/workoab,Very Low,,,7,,,,,
"Campus Västervik",https://www.linkedin.com/company/campusvastervik,Very Low,,,7,,,,,
"Grolls",https://www.linkedin.com/company/grolls-ab,Very Low,,,7,,,,,
"Cirrus CRM",https://www.linkedin.com/company/cirruscrm,Very High,5,5,7,,,,,
"SMC Automation",https://www.linkedin.com/company/smc-automation-sweden,Very Low,,,7,,,,,
"Security Assistance Syd AB",https://www.linkedin.com/company/security-assistance-syd-ab,Very Low,3,,7,,,,,
"Iterio",https://www.linkedin.com/company/iterio,Very High,7,7,7,,,,,
"Svenska Diabetesförbundet",https://www.linkedin.com/company/svenskadiabetesforbundet,Very Low,,,7,,,,,
"Euro Accident",https://www.linkedin.com/company/euro-accident,Very Low,,,7,,,,,
"NyföretagarCentrum Sverige",https://www.linkedin.com/company/nyforetagarcentrum,Very Low,,,7,,,,,
"Weidmüller Nordic",https://www.linkedin.com/company/weidmuller-nordic,Very High,5,5,7,,,,,
"Carglass® Sverige",https://www.linkedin.com/company/carglass-sweden,Very Low,,,7,,,,,
"AS3 Transition Sverige",https://www.linkedin.com/company/as3-svenska-ab,Very Low,,,7,,,,,
"Svensk Vindkraft / Swedish Wind Power",https://www.linkedin.com/company/svensk-vindkraft,Very High,4,3,7,,,,,
"Competitive Intelligence Solutions",https://www.linkedin.com/company/competitive-intelligence-solutions,Very Low,,,7,,,,,
"Poda",https://www.linkedin.com/company/poda-as,Very Low,,,7,,,,,
"Spago Nanomedical AB",https://www.linkedin.com/company/spago-nanomedical,Very Low,,,7,,,,,
"Community Security Group Sweden AB",https://www.linkedin.com/company/community-security-group-sweden-ab,Very High,5,5,7,,,,,
"FORTÉ Sweden (Informationsteknik)",https://www.linkedin.com/company/fortesweden,Very Low,,,7,,,,,
"Svenssons",https://www.linkedin.com/company/svenssons-i-lammhult,Very High,9,9,7,,,,,
"Smart Refill AB",https://www.linkedin.com/company/smart-refill-ab,Very Low,,,7,,,,,
"Corem Property Group",https://www.linkedin.com/company/corem-property-group,Very High,35,35,7,,,,,
"Juridiska Föreningen i Göteborg",https://www.linkedin.com/company/juridiska-f-reningen-i-g-teborg,Very Low,,,7,,,,,
"House of SAKI",https://www.linkedin.com/company/house-of-saki,Very High,5,5,7,,,,,
"Kulladals FF",https://www.linkedin.com/company/kulladals-ff,Very High,7,7,7,,,,,
"Vitsgarn Seglarskola",https://www.linkedin.com/company/vitsgarn-seglarskola,Very Low,,,7,,,,,
"Netnod",https://www.linkedin.com/company/netnod,Very Low,,,7,,,,,
"Nokalux AB",https://www.linkedin.com/company/nokalux-ab,Very Low,,,7,,,,,
"Arlanda express",https://www.linkedin.com/company/arlanda-express-atrain-ab,Very Low,,,7,,,,,
"Educatius Group",https://www.linkedin.com/company/educatius-nordic,Very Low,,,7,,,,,
"Momentum",https://www.linkedin.com/company/momentum-software-ab,Very High,16,16,7,,,,,
"Tingstad",https://www.linkedin.com/company/tingstad-com,Very Low,,,7,,,,,
"Nudie Jeans",https://www.linkedin.com/company/nudie-jeans,Very High,4,3,7,,,,,
"IT informa AB",https://www.linkedin.com/company/it-informa-ab,Very Low,,,7,,,,,
"Fysioterapeuterna",https://www.linkedin.com/company/fysioterapeuterna,Very Low,,,7,,,,,
"Bukowskis",https://www.linkedin.com/company/bukowskis,Very High,10,10,7,,,,,
"BRP Systems AB",https://www.linkedin.com/company/brp-systems-ab,Very High,15,15,7,,,,,
"LECO Nordic AB",https://www.linkedin.com/company/leco-nordic,Very Low,,,7,,,,,
"Bording Sverige",https://www.linkedin.com/company/bording-ab,Very Low,,,7,,,,,
"AbbVie",https://www.linkedin.com/company/abbvie,Very Low,,,7,,,,,
"The National Museums of World Culture, Sweden",https://www.linkedin.com/company/the-national-museums-of-world-culture-sweden,Very Low,,,7,,,,,
"Ahlqvist & Almqvist Arkitekter",https://www.linkedin.com/company/ahlqvist-&-almqvist-arkitekter-ab,Very Low,,,7,,,,,
"HTS BeSafe AS",https://www.linkedin.com/company/hts-besafe-as,Very Low,,,7,,,,,
"Self-Employed",https://www.linkedin.com/company/self-employed_1066,Very High,8,7,7,,,,,
"Svenska Möten",https://www.linkedin.com/company/svenska-m-ten,Very Low,,,7,,,,,
"Dalarna Science Park",https://www.linkedin.com/company/dalarnasciencepark,Very Low,,,7,,,,,
"Ung Omsorg",https://www.linkedin.com/company/ung-omsorg-sverige-ab,Very Low,,,7,,,,,
"Sobi - Swedish Orphan Biovitrum AB (publ)",https://www.linkedin.com/company/sobi,Very High,34,35,7,,,,,
"Hela Människan",https://www.linkedin.com/company/hela-m-nniskan,Very High,9,12,7,,,,,
"Keylinx AB - Innovation för alla",https://www.linkedin.com/company/keylinx-ab,Very Low,,,7,,,,,
"Polarn O. Pyret",https://www.linkedin.com/company/polarn-o-pyret,Very High,13,12,7,,,,,
"Private Company",https://www.linkedin.com/company/privatecompanyusa,Very High,12,10,7,,,,,
"Returpack / Pantamera",https://www.linkedin.com/company/returpack-ab,Very Low,,,7,,,,,
"Bahir Dar University",https://www.linkedin.com/company/bduethiopia,Very Low,,,7,,,,,
"Ågrenska",https://www.linkedin.com/company/agrenska,Very Low,,,7,,,,,
"Zenit Design",https://www.linkedin.com/company/zenit-design,Very High,10,11,7,,,,,
"Odd Hill",https://www.linkedin.com/company/odd-hill,Very High,20,20,7,,,,,
"EGTC Euroregion Baltic",https://www.linkedin.com/company/euroregion-baltic,Very Low,,,7,,,,,
"GNOME Foundation",https://www.linkedin.com/company/gnome-foundation,Very Low,,,7,,,,,
"Boid",https://www.linkedin.com/company/boid,Very Low,,,7,,,,,
"HabotConnect",https://www.linkedin.com/company/habot-connect,Very Low,,,7,,,,,
"DB Cargo",https://www.linkedin.com/company/db-cargo-ag,Very High,12,13,7,,,,,
"NEYE",https://www.linkedin.com/company/neye,Very High,3,4,7,,5,,,
"Frankfurt School of Finance & Management",https://www.linkedin.com/company/frankfurtschool,Very Low,,,7,,,,,
"Bostadsförmedlingen i Stockholm AB",https://www.linkedin.com/company/stockholms-stads-bostadsf-rmedling-ab,Very High,27,30,7,,,,,
"C4 Energi",https://www.linkedin.com/company/c4-energi,Very High,19,19,7,,,,,
"EGN Sverige",https://www.linkedin.com/company/executives-global-network,Very Low,,,7,,,,,
"INDISKA",https://www.linkedin.com/company/indiska-1901-ab,Very High,9,5,7,,,,,
"Navcite",https://www.linkedin.com/company/navcite-consulting-ab,Very Low,,,7,,,,,
"RDT",https://www.linkedin.com/company/rdt-com,Very Low,,,7,,,,,
"Trine University",https://www.linkedin.com/company/trine-university,Very Low,,,7,,,,,
"Samsøe Samsøe",https://www.linkedin.com/company/samsoesamsoe,Very Low,,,7,,,,,
