Company Name,Company Page URL,Engagement Level,Organic Impressions,Organic Engagements,Paid Impressions,Paid Clicks,Paid Engagements,Paid Conversions,Paid Leads,Paid Qualified Leads
"Aspia",https://www.linkedin.com/company/aspia,High,30,27,255,4,11,,,
"Unionen",https://www.linkedin.com/company/unionen,Very High,107,105,252,,11,,,
"Karlstads kommun",https://www.linkedin.com/company/karlstadskommun,High,77,79,251,4,7,,,
"Internationella Engelska Skolan",https://www.linkedin.com/company/internationella-engelska-skolan,Very High,195,200,248,6,18,,,
"SAS - Scandinavian Airlines",https://www.linkedin.com/company/flysas,Very High,135,135,247,,5,,,
"Drottning Blankas Gymnasieskola",https://www.linkedin.com/company/drottning-blankas-gymnasieskola,Very High,218,223,244,3,29,,,
"ASSA ABLOY Entrance Systems",https://www.linkedin.com/company/assa-abloy-entrance-systems,Very High,195,202,241,,5,,,
"Lantmännen",https://www.linkedin.com/company/lantmannen,Very High,236,245,241,,10,,,
"Atea Sverige",https://www.linkedin.com/company/atea-sverige,Very High,337,326,239,,4,,,
"Innoguard AB",https://www.linkedin.com/company/innoguard-ab,Medium,23,23,238,,8,,,
"LKAB",https://www.linkedin.com/company/lkab,Medium,35,32,238,,,,,
"Alingsås kommun",https://www.linkedin.com/company/alingsas-kommun,Very High,140,145,235,,11,,,
"Consid",https://www.linkedin.com/company/consid-ab,Very High,108,104,235,,,,,
"Kronofogden",https://www.linkedin.com/company/kronofogden,Very High,226,226,231,5,11,,,
"Victoriahem",https://www.linkedin.com/company/victoriahem,Very High,380,370,230,4,10,,,
"TEGNÉRS MATSALAR I LUND AB",https://www.linkedin.com/company/tegnérs-matsalar-i-lund-ab,Low,11,11,227,,,,,
"Mpya Finance",https://www.linkedin.com/company/mpya-finance,Medium,24,25,227,,3,,,
"MAX IV Laboratory",https://www.linkedin.com/company/maxiv,Medium,35,33,227,,,,,
"Varbergs kommun",https://www.linkedin.com/company/varbergs-kommun,Very High,256,260,226,5,10,,,
"Pensionär/livsnjutare",https://www.linkedin.com/company/network-automation-mxc-ab,High,31,34,225,,,,,
"Härryda kommun",https://www.linkedin.com/company/h-rryda-kommun,Very High,113,113,223,,7,,,
"Tyréns AB",https://www.linkedin.com/company/tyrens-ab,Very High,791,832,223,,19,,,
"Norconsult Sverige",https://www.linkedin.com/company/norconsult-sverige,Very High,783,812,222,,12,,,
"Lerums kommun",https://www.linkedin.com/company/lerums-kommun,Medium,20,21,222,,6,,,
"Ingka Centres",https://www.linkedin.com/company/ingka-centres,High,71,69,221,,6,,,
"Adecco",https://www.linkedin.com/company/adecco,Very High,228,231,221,5,14,,,
"Elgiganten AB",https://www.linkedin.com/company/elgiganten_2-ab,High,75,67,221,3,7,,,
"Kungliga Tekniska högskolan",https://www.linkedin.com/company/kth,Very High,207,191,221,,6,,,
"Malmö tingsrätt",https://www.linkedin.com/company/malmö-tingsrätt,Very High,319,328,220,5,14,,,
"Skånes Kommuner",https://www.linkedin.com/company/skaneskommuner,Very High,344,377,220,3,24,,,
"Novo Nordisk",https://www.linkedin.com/company/novo-nordisk,Very High,126,119,218,3,7,,,
"Jönköping University",https://www.linkedin.com/company/jonkopinguniversity,Very High,118,116,217,3,5,,,
"Region Norrbotten",https://www.linkedin.com/company/region-norrbotten,High,52,53,216,,,,,
"Öresundskraft",https://www.linkedin.com/company/oresundskraft,Very High,117,127,216,3,4,,,
"KYH",https://www.linkedin.com/company/kyh,Very High,338,346,214,4,22,,,
"Nacka kommun",https://www.linkedin.com/company/nacka-kommun,Very High,182,196,212,,,,,
"HiQ",https://www.linkedin.com/company/hiq,High,50,53,212,,,,,
"Nowaste Logistics Sverige",https://www.linkedin.com/company/nowaste-logistics,Low,9,9,211,,3,,,
"Lindab Ventilation",https://www.linkedin.com/company/lindab-ventilation,Medium,14,14,210,,3,,,
